student_id,Competency
c675815b58c04d558bdfe11da07a3e32,COM-104
c675815b58c04d558bdfe11da07a3e32,COM-106
c675815b58c04d558bdfe11da07a3e32,ENI-106
c675815b58c04d558bdfe11da07a3e32,HCD-403
c675815b58c04d558bdfe11da07a3e32,SEC-101
c675815b58c04d558bdfe11da07a3e32,SEC-102
c675815b58c04d558bdfe11da07a3e32,SEC-302
c675815b58c04d558bdfe11da07a3e32,SEC-303
c9aeacf8b6a4448dabb061937381961e,AIC-101
c9aeacf8b6a4448dabb061937381961e,AIC-504
c9aeacf8b6a4448dabb061937381961e,HCD-304
c9aeacf8b6a4448dabb061937381961e,HCD-402
c9aeacf8b6a4448dabb061937381961e,HCD-403
c9aeacf8b6a4448dabb061937381961e,HCD-404
c9aeacf8b6a4448dabb061937381961e,HCD-405
